x1,x2,y
-0.626453811,0.918977372,-1
0.183643324,0.782136301,-1
-0.835628612,0.074564983,-1
1.595280802,-1.989351696,-1
0.329507772,0.619825748,-1
-0.820468384,-0.05612874,-1
0.487429052,-0.155795507,-1
0.738324705,-1.470752384,-1
0.575781352,-0.478150055,-1
-0.305388387,0.41794156,-1
3.011781168,2.858679552,1
1.889843236,1.397212273,1
0.878759419,1.887671612,1
-0.714699887,2.946194959,1
2.624930918,0.122940443,1
1.455066391,1.085005437,1
1.483809737,1.105710046,1
2.443836211,1.440686603,1
2.321221195,2.600025372,1
2.093901321,2.263175748,1
