x1;x2;y
1,373546189;2,40940184;1
2,183643324;3,688873286;1
1,164371388;3,586588433;1
3,595280802;1,669092199;1
2,329507772;-0,285235535;1
1,179531616;4,49766159;1
2,487429052;2,667066167;1
2,738324705;2,541327336;1
2,575781352;1,986600477;1
1,694611613;2,510108423;1
3,511781168;1,835624168;1
2,389843236;2,420694643;1
1,378759419;1,599753256;1
-0,214699887;0,629792122;1
3,124930918;2,987838267;1
1,955066391;3,519745025;1
1,983809737;1,691259431;1
2,943836211;0,746710244;1
2,821221195;2,642241306;1
2,593901321;1,955290863;1
2,918977372;0,266781593;1
2,782136301;2,00213186;1
2,074564983;1,369699666;1
0,010648304;1,65903142;1
2,619825748;0,843427637;1
1,94387126;3,803141908;1
1,844204493;1,668867964;1
0,529247616;0,394486588;1
1,521849945;2,197193439;1
2,41794156;2,263175646;1
3,358679552;1,0141733;1
1,897212273;-0,888920672;1
2,387671612;1,359518297;1
1,946194959;2,570507636;1
0,622940443;1,940276724;1
1,585005437;1,901821256;1
1,605710046;2,560820729;1
1,940686603;0,813541361;1
3,100025372;3,096777044;1
2,763175748;1,994655972;1
1,835476404;2,707310667;1
1,74663832;3,034107735;1
2,696963375;2,223480415;1
2,556663199;1,121292387;1
1,311244305;3,162964556;1
1,292504843;-0,000164945;1
2,364581962;1,45520926;1
2,768532925;1,744329291;1
1,887653788;1,833878963;1
2,881107726;3,020463909;1
2,39810588;2,136221893;1
1,387973607;2,407167603;1
2,341119691;1,930345187;1
0,870636904;1,752335658;1
3,433023702;2,695550807;1
3,980399899;3,146228357;1
1,632778524;-0,403096215;1
0,955865374;2,572739555;1
2,569719627;2,374724407;1
1,864945396;1,574732278;1
4,401617761;2,951012808;1
1,960759997;1,610762818;1
2,689739362;1,715669338;1
2,028002159;2,857409778;1
1,256726791;3,719627299;1
2,1887923;2,270054901;1
0,195041371;1,57781599;1
3,465554862;0,810886705;1
2,153253338;1,668967021;1
4,17261167;1,060170673;1
2,475509529;1,741067417;1
1,290053569;2,394379168;1
2,610726353;1,148142908;1
1,065902368;4,649166881;1
0,7463666;2,156011676;1
2,291446236;3,130207267;1
1,556708127;-0,28912398;1
2,001105352;2,741001157;1
2,074341324;0,68375484;1
1,410479054;2,919803678;1
1,431331267;2,398130155;1
1,864821385;1,592471421;1
3,178086997;3,32425863;1
0,4764332;1,298768331;1
2,593946188;1,419385696;1
2,332950371;0,998927819;1
3,063099837;1,331821393;1
1,695816076;2,945184953;1
2,37001881;2,43370215;1
2,267098791;3,005159218;1
1,457479969;1,609881336;1
3,207867806;2,376370292;1
3,160402616;2,244164924;1
2,70021365;0,573742658;1
